source_id,url,source_type,topology_relevance,evidence_type,local_firecrawl_file,why_it_matters_for_iwin,limitations_or_missing_data,recommended_bucket
S001,https://www.tigoenergy.com/product/ts4-a-o,manufacturer,optimizer,"design, safety, monitoring",tigoenergy.com-product-ts4-a-o.md,"Flexible module-level optimizer source with product-level claims for optimization, monitoring, rapid shutdown, TAP/CCA ecosystem.","Product page is not enough for exact electrical design; use datasheet/manual for final fields.",required
S002,https://cdn.prod.website-files.com/5fad551d7419c7a0e9e4aba4/68827724d772a21c23ceb55e_002-00216-00%201.1%20Datasheet%20TS4-A-O%20(725W)%2020250709%20-%20EN.pdf,datasheet,optimizer,"design, safety, installation",cdn.prod.website-files.com-5fad551d7419c7a0e9e4aba4-68827724d772a21c23ceb55e_002-00216-00%201.1%20Datasheet%20TS4-A-O%20(725W)%2020250709%20-%20EN.pdf.md,"Gives TS4-A-O 725 W, 12-80 V, 22 A Isc, IP68, temperature, communications, rapid-shutdown fields.","No blind/facade use case; output behavior and exact inverter compatibility need follow-up.",required
S003,https://cdn.prod.website-files.com/5fad551d7419c7a0e9e4aba4/698b65573e1e53f5d116c80f_002-00129-00%202.3%20IO%26M%20TS4A%20with%20TAP%20and%20CCA%2020251001%20-%20EN.pdf,installation manual,optimizer,"installation, safety, monitoring",cdn.prod.website-files.com-5fad551d7419c7a0e9e4aba4-698b65573e1e53f5d116c80f_002-00129-00%202.3%20IO%26M%20TS4A%20with%20TAP%20and%20CCA%2020251001%20-%20EN.pdf.md,"Documents TAP/CCA range, same-branch RSS rule, output cable stringing, mounting and disconnection sequence.","Rooftop/module-frame assumptions; moving blind mounting not addressed.",required
S004,https://www.onsaplus.eu/tigo-ts4-a-o/,distributor,optimizer,"pricing, availability",onsaplus.eu-tigo-ts4-a-o.md,"EU price anchor for Tigo TS4-A-O: EUR 32 excl. VAT, EUR 39.36 incl. VAT, in stock in scrape.","Retail price volatile; not full system cost.",useful
S005,https://signaturesolar.com/tigo-energy/,distributor,optimizer,"pricing, accessories",signaturesolar.com-tigo-energy.md,"US price anchor for TS4-A-O, TS4-A-F, CCA, TAP, and kits.","Category page, not manufacturer; stock and pricing volatile.",useful
S006,https://www.solaredge.com/en/products/residential/power-optimizers,manufacturer,optimizer,"design, safety, monitoring",solaredge.com-en-products-residential-power-optimizers.md,"Shows SolarEdge panel-level MPPT, SafeDC, model ranges, operating-temperature claims.","Vendor page; ecosystem lock and exact string rules require datasheets/manuals.",required
S007,https://www.solaredge.com/en/products/commercial/s1500-power-optimizer,manufacturer,optimizer,"design, safety",solaredge.com-en-products-commercial-s1500-power-optimizer.md,"Shows two-panel commercial optimizer concept and SafeDC for high-voltage commercial arrays.","Commercial rooftop/ground/facade scale; not blind-specific.",useful
S008,https://minisite.solaredge.com/hubfs/Power%20Optimizer%20S1400_DS-000205-PHL.pdf,datasheet,optimizer,"design, safety, installation",minisite.solaredge.com-hubfs-Power%20Optimizer%20S1400_DS-000205-PHL.pdf.md,"Hard evidence for 12.5-105 V MPPT, 125 V max input, 20 A Isc, 1 V safety output, string minimums.","Strong evidence of proprietary string/inverter dependence.",required
S009,https://solar.huawei.com/en/products/MERC-1100-1300-P/,manufacturer,optimizer,"design, safety, monitoring",solar.huawei.com-en-products-merc-1100-1300-p.md,"Huawei module-level optimizer product page with rapid shutdown to 1 V and monitoring/fault-location claims.","Use manuals for exact limits; not generic standalone product.",required
S010,https://support.huawei.com/enterprise/en/doc/EDOC1100265210-998e36a3/technical-specifications,manual,optimizer,"design, safety",support.huawei.com-enterprise-en-doc-EDOC1100265210-998e36a3-technical-specifications.md,"Gives MERC 125 V max, 12.5-105 V MPPT, 20 A Isc, 2-80 V output, 1 V safe output, IP68, temp, size.","Huawei inverter ecosystem required; exact allowed inverter models need separate extraction.",required
