"evidence_id","source_id","locator","statement","claim_type","topic","confidence","follow_up_needed"
"E01","S10","Chapter 2; sections 2.2-2.6","Xiao 2017 is the primary DMPPT taxonomy source: it distinguishes centralized MPPT from distributed MPPT and subdivides DMPPT by MPPT granularity at string, module, submodule, and cell level.","direct","DMPPT taxonomy","high","Extract page-level citations if this becomes a formal report or deck."
"E02","S10","Section 2.3","String-level DMPPT uses independent power processing per string; NotebookLM reports DC/DC converter or DC/AC inverter variants sharing a common DC or AC link.","direct","string DMPPT; DC/AC link","high","Verify figure numbers and exact circuit variants in the PDF before topology scoring."
"E03","S10","Section 2.4.1","Module-integrated parallel inverters are the source's AC-side/module-level DMPPT family; NotebookLM maps these to microinverters or AC modules.","direct","AC DMPPT; microinverter","high","Verify AC module protection, monitoring, and service constraints against vendor hardware."
"E04","S10","Section 2.4.2","Module-integrated parallel converters are DC/DC module-level DMPPT connected to a common DC bus.","direct","DC DMPPT; DC bus","high","Check suitability against building DC bus voltage, isolation, and shutdown requirements."
"E05","S10","Section 2.4.3","Module-integrated series converters are DC/DC module-level DMPPT and correspond commercially to DC power optimizers in series strings.","direct","DC DMPPT; power optimizer","high","Validate single-point open-circuit behavior and bypass/shutdown mode for moving facade elements."
"E06","S10","Section 2.4.4","Module-integrated differential power processors process mismatch power rather than full module power; NotebookLM flags wiring and fault complexity.","direct","DPP; module DMPPT","medium","Confirm exact DPP variants and failure modes from the source before rejecting for iWin."
"E07","S10","Section 2.4.5","Module-integrated series inverters are an AC-output module-level DMPPT family with series AC connection.","direct","AC DMPPT; series AC","medium","Needs closer circuit/protection review; not enough evidence for practical selection."
"E08","S10","Section 2.5.1","Submodule-integrated series converters are DC/DC submodule DMPPT and require changes inside the laminated PV electrical layout.","direct","submodule DMPPT","high","Requires vendor laminate/segment access; likely vendor-data-gated for iWin."
"E09","S10","Sections 2.5.2-2.5.3","Submodule DPP variants are discussed as subIDPP/subIPDPP families with communication, wiring, and isolation implications.","direct","submodule DPP","medium","Extract detailed circuit constraints before any architecture comparison."
"E10","S10","Section 2.6","Cell-level DMPPT is discussed as on-chip/integrated power management with low-voltage and cost/complexity drawbacks.","direct","cell-level DMPPT","high","Treat as research reference, not a near-term iWin architecture, unless product evidence appears."
"E11","S10","Chapter 1 and Chapter 9 hybrid-system passages","Xiao 2017 uses hybrid mainly for PV plus another generation source or for control-system wording; NotebookLM explicitly reported that the source does not use the phrase 'hybrid DMPPT'.","direct","terminology; hybrid DMPPT","high","If hybrid DMPPT remains desired, define it as project terminology rather than source terminology."
"E12","S02","Chapter 2.2.4 Electrical design of a BIPV system","Chivelet 2025 identifies BIPV electrical design as central under partial shading and non-uniform irradiance; local text corroborated central, string/multi-string, microinverter, and DC-DC optimizer options.","direct","BIPV electrical design","high","Extract page number and exact figure references for formal citation."
"E13","S02","Chapter 4 and Chapter 5 installation passages surfaced by local text search","Chivelet 2025 connects BIPV BOS to central/string/microinverters and DC-DC optimizers, and recommends power optimizers or microinverters when shading is unavoidable.","direct","BIPV MLPE; shading mitigation","high","Verify whether the recommendation is general BIPV guidance or specific facade/louver guidance."
