"source_id","notebooklm_source_id","title","type","likely_content","confidence_notes","task_bucket"
"S01","2db0eaad-741d-41f1-a4b4-feff0909b5f9","1_4_BIPV_Shading_Granularity_Safety_Value.pdf","PDF","Generated or curated BIPV shading/granularity/safety synthesis slide/source.","Ready in NotebookLM; not a primary book/chapter source for topology evidence.","secondary"
"S02","061ad0b9-da53-4fb4-bc71-06b0332811e4","Building-Integrated Photovoltaics-- A Technical Guidebook - 2025 - Nuria Martin Chivelet.pdf","PDF book","BIPV technical guidebook with electrical design guidance, partial-shading constraints, inverter/optimizer options, and BIPV installation context.","NotebookLM identified Ch. 2.2.4 as directly relevant; local PDF text corroborated the section and central/string/microinverter/DC-DC optimizer material.","required"
"S03","bd7ed49a-8770-4d7c-90bb-e44f11a1065d","Challenges and Optimization of Building-Integrated Photovoltaics (BIPV) Windows-- A Review - 2023 - Shaohang Shi, Ning Zhu.pdf","PDF review paper","BIPV windows review focused on optical, thermal, facade, and smart-window performance trade-offs.","NotebookLM found little explicit topology/DMPPT content; useful only for BIPV-window context.","skip_for_topology"
"S04","55966f29-b3a4-464b-a073-4e7da5c67445","GitHub - serenakeyitan/awesome-notebookLM-prompts","Web page","NotebookLM prompt repository, not PV electrical content.","Excluded from technical evidence by request and by source inventory.","skip"
"S05","13ab6225-e161-43f2-950c-1b251b217bf1","IEC 62548-2016 - Photovoltaic (PV) arrays - Design requirements -- 1_0.pdf","PDF standard","PV array design requirements, PV system architectures, PCE with multiple DC inputs, DC conditioning units, series-parallel array configurations, safety references.","NotebookLM and local PDF text corroborated clauses 5.1.2-5.1.6 plus DCU/PCE language. Page-level quotation extraction still needed for formal report citation.","required"
"S06","b6f05fb5-a0c7-4c89-9729-34ff64249154","Maximum power point tracking -- background, implementation and classification - 2020 - Maurice Hebert.pdf","PDF edited book/review collection","MPPT background and classification; includes scale-dependent MPPT/DMPPT considerations, topology-based approaches, DPP, and hybrid MPPT algorithm terminology.","NotebookLM highlighted Ch. 4; local PDF text corroborated DMPPT/topology-based passages and that hybrid is often algorithm/HRES terminology, not necessarily hybrid DMPPT topology.","useful"
"S07","2d7077ce-06d3-4314-87ae-f9a8e3d6b5c2","Modeling of photovoltaic systems using MATLAB - simplified green codes - 2016 - Tamer Khatib; Wilfried Elmenreich.pdf","PDF book","MATLAB-oriented modeling of PV power electronics, DC-DC converters, DC-AC inverters, MPPT controllers, and auxiliary sources.","NotebookLM identified Ch. 3 as useful for modeling rather than source taxonomy. Not locally text-verified in this pass.","useful"
"S08","369a1cb9-f9bf-47e8-b59c-e545fe3a6e26","Photovoltaic Design & Installation For Dummies - 2010 - Ryan Mayfield.pdf","PDF book/guide","Practical overview of charge controllers, inverters, MPPT, microinverters, string and central inverters.","NotebookLM and local PDF text corroborated Ch. 8 and Ch. 9; level is basic for this user, but useful for quick practical definitions.","secondary"
"S09","415a4f08-a54b-4732-be75-b5c0e5854ab3","Photovoltaic Systems Technology 2024 - Mohammed Aslam Husain, Md Waseem Ahmad.pdf","PDF edited book","PV inverter taxonomy, module/string/multi-string inverter sections, PV reconfiguration, mismatch, MPPT/GMPPT, microinverters, HRES chapters.","NotebookLM and local PDF text corroborated Ch. 1 inverter taxonomy, Ch. 3 reconfiguration, Ch. 5 MPPT, and separate HRES/hybrid chapters.","required"
"S10","b9d2ddf8-0732-4aae-a46b-826ee5b1cf0a","Photovoltaic power system -- modelling, design, and control 2017 - Weidong Xiao.pdf","PDF book","Core taxonomy of PV power systems, CMPPT/DMPPT, module/submodule/cell DMPPT, MIPI/MIPC/MISC/MIDPP/MISI/subMISC/subIDPP/subIPDPP, power conditioning, MPPT, grid-connected systems.","NotebookLM and local PDF text both identify this as the primary source for DMPPT topology classification. Local text also showed hybrid means PV plus another generation source or hybrid control, not hybrid DMPPT.","required"
"S11","9b0c0b5a-b346-4f74-8cd6-e4ff5535d8a5","Photovoltaics -- System Design and Practice 2012 - Heinrich Haeberlin.pdf","PDF book","Solar generator interconnection, partial shading/mismatch losses, grid-connected system layouts, central/string/module inverters, MPPT tracking efficiency.","NotebookLM and local PDF text corroborated Ch. 4.3, Ch. 4.5.3, Ch. 5.1.2.5, Ch. 5.2.2, and Ch. 5.2.5 material.","useful"
