architecture,role,file_type,evidence_status,path,notes
ALL,root instructions,markdown,project authority,../../AGENTS.md,"PVplant operating rules, H1-H3 baseline definitions, evidence taxonomy, hard gates."
ALL,canonical knowledge base,markdown,project-derived technical resource,../../PVplant_iWin_BIPV_Knowledge_v2.md,"Shared assumptions, voltage-domain rule, older H1-H4 definitions, vendor-data gates."
ALL,active hypothesis pack,markdown,project-derived technical resource,../../GPT_project2080/iWin_H1_H2_H3_H4_Active_Architecture_Hypotheses_v2.md,"Corrected May 28 H1-H4 map from GPT_project2080; useful but current chat has H4/A4 optimizer naming."
ALL,decision matrix,markdown,verified-source plus inference,../2026-05-26_iwin_topology_decision_matrix/decision_matrix.md,"Conditional A1-A4 matrix after Firecrawl evidence collection."
ALL,score matrix,csv,verified-source plus inference,../2026-05-26_iwin_topology_decision_matrix/score_matrix.csv,"Per-criterion scores with evidence source, confidence, and missing data."
ALL,price evidence report,markdown,distributor and official price evidence,../2026-05-26_iwin_price_evidence/price_evidence_report.md,"Cost anchors for optimizers, microinverters, gateways, AC/DC accessories."
ALL,raw price table,csv,distributor and official price evidence,../2026-05-26_iwin_price_evidence/raw_price_table.csv,"Raw price extraction table."
ALL,normalized cost table,csv,derived from price evidence,../2026-05-26_iwin_price_evidence/normalized_cost_table.csv,"Normalized EUR per controllable unit estimates."
ALL,topology synthesis report,markdown,verified-source plus inference,../2026-05-21_iwin_pv_blinds_firecrawl_topology_synthesis/report.md,"First Firecrawl synthesis across optimizer and microinverter topologies."
ALL,source inventory,csv,source inventory,../2026-05-21_iwin_pv_blinds_firecrawl_topology_synthesis/source_inventory.csv,"Decision-grade source list with source type, topology relevance, evidence type, limitations, bucket."
ALL,evidence index,csv,evidence index,../2026-05-21_iwin_pv_blinds_firecrawl_topology_synthesis/evidence_index.csv,"Extracted evidence rows from the Firecrawl pass."
ALL,source discovery notes,markdown,source discovery,../2026-05-21_iwin_pv_blinds_firecrawl_topology_synthesis/source_discovery_notes.md,"Search gaps, query logic, and discovery notes."
H1,infographic,png,project artifact,../../GPT_project2080/H1_window_dcdc_mppt_floorDCAC.png,"Legacy H1 visual: per-window DC/DC MPPT plus floor aggregation."
H1,infographic,png,project artifact,../../GPT_project2080/H1-SDO-infographic_WEB.png,"H1 SDO visual variant from GPT_project2080."
