"architecture_id","architecture","criterion","score","evidence_status","evidence_source","confidence","blocking_missing_data","rationale"
"A1","PV blind segments -> DC optimizers / distributed MPPT -> DC bus -> central inverter","partial shading tolerance","4","verified from source","https://www.mdpi.com/2075-5309/14/1/53; https://www.mdpi.com/2075-5309/14/12/3850","medium","iWin blind-module shade matrix; whether each blind/segment has independent MPPT","Facade/BIPV papers support optimizer benefit under module shading; score assumes optimizer granularity is not merged before MPPT."
"A1","PV blind segments -> DC optimizers / distributed MPPT -> DC bus -> central inverter","suitability for small PV elements","3","verified from source","https://cdn.prod.website-files.com/5fad551d7419c7a0e9e4aba4/68827724d772a21c23ceb55e_002-00216-00%201.1%20Datasheet%20TS4-A-O%20(725W)%2020250709%20-%20EN.pdf; https://www.deyeinverter.com/deyeinverter/2023/12/21/datasheet_sun-xl02-a_231221_en.pdf","medium","per-blind Voc/Vmp/Isc/Imp/Pmp over temperature and shade","Commercial optimizers accept roughly 12-80 V input in Tigo/Deye examples, but they are module-scale products with hundreds-of-watts ratings."
"A1","PV blind segments -> DC optimizers / distributed MPPT -> DC bus -> central inverter","moving-cable/interface feasibility","3","verified from source","https://support.huawei.com/enterprise/en/doc/EDOC1100265210-288032bf/connecting-cables","low","moving harness length, bend radius, allowed connectorization, electronics placement","DC collection can keep AC off the moving part, but vendor cabling assumptions include fixed PV leads; Huawei explicitly disallows PV-input extension cable."
"A1","PV blind segments -> DC optimizers / distributed MPPT -> DC bus -> central inverter","shutdown/isolation safety","4","verified from source","https://cdn.prod.website-files.com/5fad551d7419c7a0e9e4aba4/698b65573e1e53f5d116c80f_002-00129-00%202.3%20IO%26M%20TS4A%20with%20TAP%20and%20CCA%2020251001%20-%20EN.pdf; https://minisite.solaredge.com/hubfs/Power%20Optimizer%20S1400_DS-000205-PHL.pdf; https://support.huawei.com/enterprise/en/doc/EDOC1100265210-998e36a3/technical-specifications","medium","target code path; rapid-shutdown initiator; inverter/gateway pairing","Tigo rapid shutdown infrastructure and SolarEdge/Huawei 1 V safe-output behavior are source-backed, but implementation depends on selected ecosystem."
"A1","PV blind segments -> DC optimizers / distributed MPPT -> DC bus -> central inverter","thermal packaging","3","verified from source","https://cdn.prod.website-files.com/5fad551d7419c7a0e9e4aba4/68827724d772a21c23ceb55e_002-00216-00%201.1%20Datasheet%20TS4-A-O%20(725W)%2020250709%20-%20EN.pdf; https://www.deyeinverter.com/deyeinverter/2023/12/21/datasheet_sun-xl02-a_231221_en.pdf","medium","headbox/facade ambient, airflow, derating, solar loading","Optimizer datasheets show IP68 and broad temperature ratings, but blind headbox temperature and mounting thermal path are unknown."
"A1","PV blind segments -> DC optimizers / distributed MPPT -> DC bus -> central inverter","serviceability/replacement","3","engineering inference","inference","low","access model for optimizer, connectors, gateway, and central inverter","Per-blind/module optimizers are replaceable devices, but many distributed units plus string dependencies can make service logistics heavy."
"A1","PV blind segments -> DC optimizers / distributed MPPT -> DC bus -> central inverter","monitoring/diagnostics","4","verified from source","https://cdn.prod.website-files.com/5fad551d7419c7a0e9e4aba4/698b65573e1e53f5d116c80f_002-00129-00%202.3%20IO%26M%20TS4A%20with%20TAP%20and%20CCA%2020251001%20-%20EN.pdf; https://www.deyeinverter.com/product/accessory-monitoring-1/SUNXL02A-2538.html","medium","whether monitoring is mandatory; gateway location; blind identifier mapping","Tigo CCA/TAP and Deye concentrator evidence support module-level monitoring pathways, with added infrastructure."
"A1","PV blind segments -> DC optimizers / distributed MPPT -> DC bus -> central inverter","installation complexity","2","standards-backed framing","https://webstore.iec.ch/en/publication/64171; https://cdn.prod.website-files.com/5fad551d7419c7a0e9e4aba4/698b65573e1e53f5d116c80f_002-00129-00%202.3%20IO%26M%20TS4A%20with%20TAP%20and%20CCA%2020251001%20-%20EN.pdf","medium","array voltage class, string plan, protection, switching, earthing, rapid shutdown design","DC bus/string architecture inherits PV array wiring/protection rules and vendor gateway/inverter setup."
"A1","PV blind segments -> DC optimizers / distributed MPPT -> DC bus -> central inverter","price evidence strength","4","verified from source","https://www.onsaplus.eu/tigo-ts4-a-o/; https://signaturesolar.com/tigo-energy/; https://7sun.eu/product-category/optimizers/","high","bulk/OEM pricing; stock; required gateway and inverter cost","Multiple distributor/manufacturer-store anchors exist for optimizers and accessories."
"A1","PV blind segments -> DC optimizers / distributed MPPT -> DC bus -> central inverter","expected cost per controllable PV unit","4","engineering inference","https://www.onsaplus.eu/tigo-ts4-a-o/; https://7sun.eu/product-category/optimizers/","medium","final per-blind power; central inverter share; gateway/cabling/labor","Raw optimizer hardware around EUR 28-65 net or USD 56 class is lower than most microinverter anchors, but not a complete installed cost."
