ID	Section	Priority	Knockout	Question	Why it matters	Requested response format	Evidence requested	Related design rows	Related assumptions	Vendor response	Document reference	Revision/date	Contractual or informational	Received	Reviewer notes
DOC-01	Document control	A	Y	Provide the current commercial product datasheet and the full document list that governs the offered revision.	Prevents mixing pilot, concept, and current commercial data.	PDF datasheet + document register	Datasheet, document list, revision status, issue dates	S01,S02,S16,S18	A03						
DOC-02	Document control	A	Y	State whether the offered product revision is identical to the one represented on the public product page and in the pilot-validation literature. If not, list all material differences.	Stops false transfer of pilot or marketing claims onto a different build state.	Narrative + delta table	Revision-to-revision change log, superseded part list	S01,S02,S10	A03,A04						
DOC-03	Document control	B	N	Provide the applicable installation manual, electrical manual, maintenance manual, and troubleshooting guide.	Closes serviceability and handover scope early.	PDF set	Manuals with revision/date	S18,S19	A07,A10						
DOC-04	Document control	B	N	Name the technical owner for electrical design, façade integration, controls, and warranty decisions.	Needed for fast closure of cross-disciplinary items.	Contact table	Responsible person, role, email, authority boundary	S18,S19							
DOC-05	Document control	B	N	List all third-party components embedded in the offered configuration.	Needed for connector, cable, electronics, and actuator traceability.	BOM summary table	Manufacturer, part number, function, revision, country of origin	S12,S13,S14,S15	A09						
ARC-01	Architecture and section	A	Y	Provide a section drawing showing outer lite, cavity/chamber, PV blind location, actuator location, feedthrough route, and replaceable boundaries.	This is the master closure item for thermal path, moisture path, service boundary, and electrical exits.	Section drawing	Drawing PDF/DWG with dimensions, callouts, revision/date	S01,S02,S13,S19	A04,A05,A07						
ARC-02	Architecture and section	A	Y	State whether the PV blind sits in the main IGU cavity or in a dedicated chamber, and quantify cavity/chamber dimensions and gas/fill assumptions.	Directly affects temperature, condensation risk, and optical assumptions.	Structured table	Section dimensions, gas or venting description, spacer concept	S02,S11,S17	A04						
ARC-03	Architecture and section	A	Y	Define the smallest independently replaceable unit for glazing, blind cassette, actuator, local electronics, and feedthrough hardware.	Needed to estimate downtime, spares, and façade intervention size.	Boundary table + diagram	Replacement procedure excerpt, service drawing	S19	A07,A10						
ARC-04	Architecture and section	A	Y	State whether actuation is local per window, per cassette, per mullion group, or centralized across multiple windows.	Changes wiring, diagnostics, controls, and common-cause failure risk.	Architecture note + block diagram	Control architecture drawing, power budget	S12,S19	A06						
ARC-05	Architecture and section	B	N	List façade integration constraints that materially affect performance or qualification (orientation, mullion depth, cavity spacing, frame material, installation tolerances).	Needed so yield and thermal claims are not detached from the install context.	Constraint table	Installation manual extracts, tolerance table	S02,S11,S17							
ARC-06	Architecture and section	B	N	Describe drainage, condensation, and moisture-management paths relevant to the blind, feedthrough, and frame interfaces.	Moisture path discipline is central in enclosed moving PV assemblies.	Narrative + detail sketch	Detail drawing, seal concept, inspection points	S13,S19	A05,A10						
ELE-01	PV element and ratings	A	Y	Provide the electrical datasheet for one offered window unit: Pmax, Voc, Vmp, Isc, Imp, temperature coefficients, NOCT or equivalent, maximum system voltage, and polarity conventions.	No architecture screening is credible without the actual unit electrical envelope.	Datasheet table	Datasheet or qualified test report	S03,S04,S05,S16	A03						
ELE-02	PV element and ratings	A	Y	State the actual PV technology and stack used in the offered product revision, including chemistry/family, active-area fraction, and any technology-dependent constraints.	The public clue 'thin-film' is insufficient for qualification, temperature, and degradation analysis.	Technology declaration	Manufacturer statement, cell/module datasheet, qualification path	S08,S09,S10	A03						
ELE-03	PV element and ratings	A	Y	Provide the internal electrical subdivision of one unit: number of slats, active slats, substrings/strings per slat or per zone, and the interconnection diagram.	This is required for mismatch modeling and fault localization.	Interconnect drawing + table	Schematic, harness drawing, string map	S03,S04,S16							
ELE-04	PV element and ratings	A	Y	Provide the bypass topology and exact allocation: one diode per string, per substring, shared between strings, or another arrangement.	Bypass allocation is a first-order performance and hot-spot risk variable for this product class.	Topology note + schematic	Schematic, part numbers, diode ratings	S03,S04,S09							
ELE-05	PV element and ratings	A	Y	Provide representative I–V and P–V curves for the actual product at multiple irradiance and temperature points, including at least one partial-shading or angle-dependent case.	Needed to validate MPPT compatibility and mismatch assumptions.	Plots + raw numeric table	Test report, CSV, model basis	S05,S16,S17							
ELE-06	PV element and ratings	A	Y	State the allowed series and parallel aggregation limits and the design rule used to derive them.	Required for Voc,max/Isc,max and for preventing unsafe or nonfunctional stringing.	Aggregation rules table	Application note or electrical manual	S03,S04,S05							
ELE-07	PV element and ratings	A	Y	State the required downstream power-conversion architecture: direct stringing, optimizer-based, modular AC, or other. Identify any architectures that are explicitly not allowed.	Avoids wasting time on architectures the product cannot support.	Architecture note	Design manual extract, supported topologies list	S05,S12							
ELE-08	PV element and ratings	A	Y	Define the disconnect and isolation boundary for safe maintenance, fault finding, and unit replacement.	This is a go/no-go serviceability and safety item.	Single-line + service note	Single-line diagram, isolation procedure, lockout note	S06,S18,S19	A07						
ELE-09	PV element and ratings	A	Y	State the earthing, insulation monitoring, and ground-fault or leakage-fault handling concept expected by the vendor.	Needed to match inverter/PCE choice and site safety design.	Protection concept note	Electrical manual, example single-line, monitoring requirements	S07,S12							
ELE-10	PV element and ratings	A	Y	Provide frame-feedthrough details: electrical rating, dielectric path, creepage/clearance basis, strain relief, bend control, and environmental sealing.	Feedthroughs are one of the highest-risk hidden interfaces in the product.	Detail drawing + component table	Feedthrough drawing, qualification/test basis, part numbers	S13,S14,S15	A05,A09						
ELE-11	PV element and ratings	A	Y	Provide the approved DC connector family, mating restrictions, and prohibited connector combinations.	Connector incompatibility is a recurrent PV failure source and must be controlled contractually.	Connector schedule	Part numbers, ratings, installation instructions	S14	A09						
ELE-12	PV element and ratings	A	Y	Provide the approved cable class, insulation type, temperature rating, voltage rating, minimum bend radius, and route limitations near moving parts or warm frame zones.	Needed to prevent hidden fatigue and thermal derating errors.	Cable schedule	Cable datasheet, route note, installation limits	S15,S19	A09						
ELE-13	PV element and ratings	B	N	State whether reverse-current protection, string fusing, SPDs, and surge/ESD measures are required or prohibited at the unit or group level.	Clarifies BOS responsibilities and avoids unsafe default assumptions.	Protection responsibility matrix	Application note, single-line examples	S06,S07							
ELE-14	PV element and ratings	B	N	Provide expected electrical signatures for common faults such as bypass failure, open substring, loss of isolation, or wrong polarity after replacement.	Improves commissioning scripts and remote diagnostics.	Fault-signature table	Diagnostic guide, event mapping, test data	S18,S19,S20							
CTL-01	Controls and interfaces	A	Y	Provide the controls architecture: local controller location, communication protocol(s), power supply requirements, and BMS/SCADA integration boundary.	Controls determine both optical behavior and operational maintainability.	Block diagram + I/O summary	Controls architecture drawing, protocol spec	S12,S18,S19	A06						
CTL-02	Controls and interfaces	A	Y	Provide the point list for all measured and commanded signals: slat angle, actuator status, fault state, temperature, irradiance/light, occupancy, and communication health.	Needed to verify observability and close the monitoring baseline.	Point list table	BMS/controls I/O list, Modbus/BACnet map	S18,S19	A08						
CTL-03	Controls and interfaces	A	Y	Provide actuator electrical and mechanical data: voltage, current, inrush, torque margin, duty cycle, travel time, angle resolution, and rated lifetime cycles.	This is required for power sizing and reliability review.	Actuator datasheet table	Actuator datasheet, qualification report	S12,S19	A06						
CTL-04	Controls and interfaces	A	Y	State the angle-feedback method and the guaranteed error between commanded angle and actual angle over life and temperature.	Angle mismatch directly degrades glare control, heat gain, and energy yield.	Accuracy specification	Control spec, test report	S18,S19							
CTL-05	Controls and interfaces	A	Y	Define fail-safe behavior for loss of sensor, loss of communications, power interruption, controller reboot, and actuator stall.	Fail-safe state is a design requirement, not a commissioning detail.	State table	Functional safety note, controls manual	S18,S19							
CTL-06	Controls and interfaces	B	N	Describe manual override, local recovery, and post-fault restart behavior.	Needed for facility operations and troubleshooting.	Procedure note	Service manual, operator guide	S19							
CTL-07	Controls and interfaces	B	N	Provide the alarm/event dictionary with severity classes and timestamp behavior.	Makes remote fault localization realistic.	Alarm list	Alarm dictionary, sample logs	S18,S19							
CTL-08	Controls and interfaces	B	N	Provide firmware-update method, rollback method, and version traceability rules.	Reduces configuration drift and upgrade risk in façade-integrated assets.	Software maintenance note	Firmware management procedure	S19							
THM-01	Thermal and qualification	A	Y	Provide measured or modeled temperatures for slat/cell, cavity/chamber air, local electronics, and frame-exit zones under representative summer and winter conditions.	Thermal behavior is a first-order design unknown for glazing-integrated PV blinds.	Plots + numeric table	Thermal report, CFD or test report, measurement basis	S11,S16,S17	A04,A08						
THM-02	Thermal and qualification	A	Y	Provide declared operating limits, derating behavior, and protective thresholds for PV, electronics, and actuators.	Needed to define control limits and abnormal-condition handling.	Limit table	Datasheet or controls protection note	S11,S12							
THM-03	Thermal and qualification	A	Y	Provide the qualification basis for the offered build: IEC 61730, IEC 61215, IEC TS 63126 if applicable, and any technology-specific or in-house tests actually completed.	Qualification must attach to the actual offered product, not to a generic technology family.	Qualification matrix	Test reports, certificates, summary matrix	S08,S09,S10,S11	A03						
THM-04	Thermal and qualification	A	Y	Provide evidence on humidity, condensation, seal durability, and moisture tolerance relevant to the blind chamber and electrical exits.	Moisture is an architecture-specific risk in enclosed moving PV assemblies.	Environmental test summary	Test report, climatic test matrix, inspection criteria	S13,S19	A04,A05						
THM-05	Thermal and qualification	B	N	State whether thermography is recommended at factory acceptance, site acceptance, or in maintenance, and define the usable inspection conditions.	Closes the practical thermal-diagnostics pathway.	Inspection note	Thermography procedure or guidance	S20							
THM-06	Thermal and qualification	B	N	Provide any known installation conditions that materially increase temperature or invalidate the standard performance basis.	Needed to identify high-temperature trigger conditions early.	Constraint note	Application note, exclusions, thermal warnings	S11,S17							
THM-07	Thermal and qualification	B	N	Provide building-product fire or smoke related declarations that the façade team must account for, if applicable to the offered assembly.	Prevents a late handoff gap between PV and façade/fire reviewers.	Declaration set	Certificates, declarations, façade-system notes	S01,S02							
REL-01	Reliability and service	A	Y	Provide actuator cycle-life evidence under the actual load/environment envelope of the offered product.	Moving-element reliability is central and cannot be inferred from generic blind hardware.	Life-test summary	Qualification report, cycle-test report	S19							
REL-02	Reliability and service	A	Y	Provide evidence for cable/harness flex life or motion-fatigue control at all moving electrical interfaces.	Intermittent motion-related conductor failures are difficult to localize after installation.	Reliability summary	Motion-cycle test, bend-life data, design note	S13,S15,S19							
REL-03	Reliability and service	A	Y	Provide feedthrough and seal-interface reliability evidence under temperature cycling, humidity, and service handling.	This is one of the highest-risk latent-fault interfaces in the system.	Reliability summary	Test report, design verification plan, warranty note	S13,S19	A05						
REL-04	Reliability and service	B	N	Provide field failure modes seen to date and the current corrective-action status for each significant mode.	Field feedback is often more informative than generic MTBF language.	Failure-mode table	NCR/CAPA summary, anonymized field data	S19							
REL-05	Reliability and service	B	N	Provide expected replacement times and special access needs for L1/L2/L3/L4 interventions.	Needed for downtime and access-cost modeling.	Service table	Service procedure, required tools, labor assumptions	S19	A07,A10						
REL-06	Reliability and service	A	Y	Provide the actual replacement procedure for a failed unit, including electrical isolation steps, recommissioning checks, and risk of misconnection.	Service procedure quality is a major differentiator for enclosed façade hardware.	Procedure document	Replacement work instruction, recommissioning checklist	S06,S18,S19	A07,A10						
REL-07	Reliability and service	B	N	Provide preventive-maintenance intervals, inspection points, consumables, and explicit no-maintenance claims or exclusions.	Needed to turn 'low maintenance' into an auditable O&M statement.	Maintenance schedule	Maintenance manual, warranty exclusions	S19	A10						
REL-08	Reliability and service	B	N	Provide the spare-parts strategy and parts availability horizon for actuators, controllers, connectors, and special glass/blind subassemblies.	Long lead items drive lifecycle risk in façade retrofits.	Spares table	Part list, lead times, obsolescence policy	S19							
COM-01	Commissioning and handover	A	Y	Provide the standard commissioning package: single-line, labeling scheme, point list, acceptance tests, and record sheets.	This closes the IEC 62446-style handover gap before procurement.	Document set	Commissioning pack, templates, FAT/SAT forms	S18							
COM-02	Commissioning and handover	A	Y	State the required pre-energization, energization, and functional tests for first power-up and post-replacement recommissioning.	Needed for safe startup and clean service loops.	Test matrix	Commissioning procedure, replacement recommissioning steps	S18,S19	A07						
COM-03	Commissioning and handover	A	Y	Provide acceptance limits or tolerances for key values: measured Voc, current, angle accuracy, telemetry availability, and temperature baseline.	Without pass/fail limits, a commissioning checklist is only paperwork.	Tolerance table	Acceptance criteria document	S18,S20	A08						
